datetime,SNX-USD,XTZ-USD,ICP-USD,ETC-USD,ZEC-USD,LINK-USD,MKR-USD,ATOM-USD,BCH-USD,CELO-USD,ENJ-USD,RUNE-USD,FIL-USD,ZRX-USD,TRX-USD,YFI-USD,COMP-USD,XLM-USD,EOS-USD,NEAR-USD,ALGO-USD,XMR-USD,SUSHI-USD,ADA-USD,UMA-USD,BTC-USD,DOT-USD,CRV-USD,SOL-USD,DOGE-USD,LTC-USD,AAVE-USD,UNI-USD,MATIC-USD,1INCH-USD,AVAX-USD,ETH-USD
2023-04-21T21:00:00.000Z,2.475,0.995,5.45,19.24,36.3,7.065,677,10.74,119.4,0.601,0.382,1.364,5.2,0.255,0.0644,8089,38.6,0.0924,1.042,1.906,0.184,150.6,1.02,0.381,1.9,27310,5.82,0.9157,21.245,0.0778,85,68.79,5.437,1.0098,0.489,16.82,1840.8
2023-04-21T22:00:00.000Z,2.472,0.995,5.5,19.19,36.3,7.038,676,10.7,118.7,0.6,0.382,1.366,5.2,0.254,0.0648,8177,38.5,0.0927,1.04,1.904,0.1837,151.5,1.022,0.382,1.9,27228,5.82,0.9155,21.163,0.0779,85.3,68.86,5.435,1.0047,0.489,16.83,1844.7
2023-04-21T23:00:00.000Z,2.487,0.995,5.52,19.27,36.3,7.118,677,10.8,119.3,0.601,0.382,1.37,5.22,0.256,0.0649,8204,38.5,0.0927,1.04,1.926,0.1848,151.5,1.026,0.382,1.91,27293,5.82,0.9231,21.258,0.0785,85.8,69.07,5.435,1.011,0.493,16.83,1850.8
2023-04-22T00:00:00.000Z,2.47,0.995,5.5,19.48,36.3,7.116,679,10.8,119.3,0.597,0.382,1.369,5.22,0.259,0.0649,8201,38.7,0.0928,1.046,1.913,0.1854,151.5,1.028,0.383,1.92,27279,5.82,0.9211,21.2,0.0783,85.1,68.85,5.457,1.0136,0.494,16.85,1849.5
2023-04-22T01:00:00.000Z,2.465,1.001,5.48,19.92,36.4,7.132,693,10.735,119.9,0.601,0.381,1.369,5.3,0.264,0.0649,8191,38.7,0.0923,1.046,1.91,0.1861,150.6,1.028,0.382,1.92,27324,5.82,0.9191,21.269,0.0783,85.8,68.87,5.464,1.0096,0.49,16.92,1855.1
2023-04-22T02:00:00.000Z,2.477,1.001,5.47,19.75,36.4,7.14,693,10.735,119.9,0.601,0.383,1.367,5.29,0.26,0.0649,8197,39,0.0926,1.046,1.918,0.1881,150.6,1.03,0.382,1.92,27299,5.82,0.9245,21.294,0.0787,85.8,69.3,5.464,1.0174,0.49,16.89,1853.7
2023-04-22T03:00:00.000Z,2.461,1.001,5.49,19.75,36.4,7.167,692,10.735,119.9,0.603,0.383,1.367,5.29,0.26,0.0649,8259,39,0.0926,1.048,1.921,0.1881,150.6,1.03,0.382,1.92,27298,5.82,0.9245,21.294,0.0787,85.8,69.59,5.464,1.0217,0.49,17.02,1858.6
2023-04-22T04:00:00.000Z,2.481,1.001,5.49,19.75,36.4,7.155,692,10.833,119.9,0.603,0.383,1.367,5.29,0.261,0.0649,8237,39,0.0926,1.048,1.921,0.1889,150.6,1.034,0.388,1.92,27347,5.82,0.9245,21.419,0.0787,85.7,69.77,5.464,1.0195,0.493,17.07,1860.9
2023-04-22T05:00:00.000Z,2.481,1.021,5.49,19.71,36.6,7.155,690,10.833,121.2,0.603,0.384,1.372,5.26,0.261,0.0652,8206,39.1,0.0926,1.052,1.92,0.1889,152.3,1.034,0.388,1.93,27347,5.82,0.9262,21.419,0.0792,85.7,69.96,5.464,1.0195,0.492,17.07,1863.5
2023-04-22T06:00:00.000Z,2.473,1.015,5.43,19.65,36.6,7.115,691,10.805,121.2,0.604,0.384,1.371,5.26,0.261,0.0652,8196,39.3,0.0933,1.053,1.92,0.1887,152.3,1.036,0.388,1.93,27347,5.82,0.9262,21.348,0.0792,85.7,69.88,5.525,1.0137,0.491,17.05,1855.1
